ts_iso,broker,duration_sec,drain_sec,producers,consumers,rate,payload_bytes,sent,published_ok,publish_errors,consumed_ok,consume_errors,avg_latency_ms,p95_latency_ms,max_latency_ms
2026-04-24T01:10:10+0300,rabbitmq,10,2,1,1,1000,128,10000,10000,0,10000,0,13.70423149,60.17193,73.9061
2026-04-24T01:10:22+0300,rabbitmq,10,2,1,1,5000,128,16472,16472,0,16472,0,408.49651150437103,1042.92185,1116.2144
2026-04-24T01:10:34+0300,rabbitmq,10,2,1,1,10000,128,18481,18481,0,18481,0,1011.6317893133488,2405.7009,2490.0457
2026-04-24T01:10:46+0300,rabbitmq,10,2,1,1,1000,1024,9999,9999,0,9999,0,24.773355225522554,72.45804000000001,97.5556
2026-04-24T01:10:58+0300,rabbitmq,10,2,1,1,5000,1024,15351,15351,0,15351,0,716.2395478014462,1802.8056,1860.8924
2026-04-24T01:11:10+0300,rabbitmq,10,2,1,1,10000,1024,18271,18271,0,16308,0,2303.02361498651,3111.152535,3235.872
2026-04-24T01:11:23+0300,rabbitmq,10,2,1,1,1000,10240,9948,9948,0,9948,0,74.00487489947727,349.16093999999987,427.0488
2026-04-24T01:11:35+0300,rabbitmq,10,2,1,1,5000,10240,10031,10031,0,10031,0,1229.827086481906,2384.7379499999997,2583.7225
2026-04-24T01:11:47+0300,rabbitmq,10,2,1,1,10000,10240,10422,10422,0,10422,0,43.917851170600656,129.19535499999986,176.7875
2026-04-24T01:11:59+0300,rabbitmq,10,2,1,1,1000,102400,2905,2905,0,2905,0,80.38202409638554,181.72965999999954,232.8855
2026-04-24T01:12:11+0300,rabbitmq,10,2,1,1,5000,102400,3001,3001,0,3001,0,53.649732289236916,112.66,166.7556
2026-04-24T01:12:23+0300,rabbitmq,10,2,1,1,10000,102400,2816,2816,0,2816,0,71.26585223721591,187.39575000000002,291.4294
2026-04-24T01:12:35+0300,redis,10,2,1,1,1000,128,6651,6651,0,6651,0,165.54970726206585,277.36445000000003,325.5312
2026-04-24T01:12:47+0300,redis,10,2,1,1,5000,128,6460,6460,0,6460,0,169.26024229102165,298.97323499999993,370.9722
2026-04-24T01:12:59+0300,redis,10,2,1,1,10000,128,6297,6297,0,6297,0,177.09971462601237,322.60175999999996,348.6829
2026-04-24T01:13:11+0300,redis,10,2,1,1,1000,1024,6440,6440,0,6440,0,187.07404677018633,305.4691899999999,341.124
2026-04-24T01:13:23+0300,redis,10,2,1,1,5000,1024,6475,6475,0,6475,0,186.9413989189189,333.29094999999995,382.9493
2026-04-24T01:13:35+0300,redis,10,2,1,1,10000,1024,6451,6451,0,6451,0,194.0929522864672,339.6847,380.6202
2026-04-24T01:13:47+0300,redis,10,2,1,1,1000,10240,6041,6041,0,6041,0,176.28340773050817,332.3204,365.6755
2026-04-24T01:13:59+0300,redis,10,2,1,1,5000,10240,6233,6233,0,6233,0,154.86931009144874,235.58517999999998,270.3873
2026-04-24T01:14:11+0300,redis,10,2,1,1,10000,10240,6131,6131,0,6131,0,160.68260288696786,251.8434,283.8679
2026-04-24T01:14:23+0300,redis,10,2,1,1,1000,102400,2446,2446,0,2446,0,271.28445461978737,376.448175,430.383
2026-04-24T01:14:35+0300,redis,10,2,1,1,5000,102400,2567,2567,0,2567,0,340.48030284378655,512.20709,574.0413
2026-04-24T01:14:47+0300,redis,10,2,1,1,10000,102400,2409,2409,0,2409,0,450.0689571191366,797.18526,918.0027
